t,vid,x,y,speed,risk
58.0,car_05,433.99589112735293,295.2,13.884829051690177,RISK
58.0,car_13,298.4,308.28099999999995,3.8999999999999986,RISK
58.0,wrong_way_01,279.7934250805178,304.8,10.092305024179783,COLLISION
58.0,yield_02,545.3253419222328,301.6,13.848978713972029,RISK
59.0,car_10,307.574584957571,294.6247509745426,4.0,RISK
59.0,yield_01,298.4,533.518539434486,13.14077192963992,SAFE
59.0,yield_06,552.0035057968573,304.8,13.88616333181737,RISK
59.0,car_09,46.123721781554565,304.8,12.902505072692078,SAFE
59.0,ped_01,295.2,408.73354129695707,11.406964500934587,RISK
59.0,react_02,343.7628754917725,304.8,4.0,RISK
59.0,car_12,294.3415791373074,299.82933201669965,2.846434808498159,RISK
59.0,yield_05,295.2,554.2361202102503,13.808323956669774,SAFE
59.0,react_04,304.8,274.1218648248592,4.0,COLLISION
59.0,car_p2,298.4,395.7744792071152,12.032348643086683,RISK
59.0,car_06,242.37100000000012,304.8,4.0,RISK
59.0,car_08,295.2,246.51100000000008,4.0,RISK
59.0,car_16,330.6181353821968,295.2,4.0,RISK
59.0,react_03,295.2,314.4768861055053,3.701571754587766,COLLISION
59.0,firetruck_01,304.8,45.44500000000002,13.5,SAFE
59.0,car_11,298.4,279.57099999999997,4.0,COLLISION
59.0,car_04,363.0923796322601,298.4,4.0,RISK
59.0,car_p1,298.4,376.5370342888706,11.999159160051622,RISK
59.0,car_15,310.4764177539824,304.8,0.0,RISK
59.0,car_03,258.92227380569614,301.6,4.0,RISK
59.0,yield_04,301.6,47.14417695412251,3.0,RISK
59.0,car_17,296.4728075506445,305.3661896869245,1.337499999999951,COLLISION
59.0,car_14,301.6,289.57700000000006,0.52,RISK
59.0,car_07,302.03872047769863,307.32895665610965,5.33012330396069,COLLISION
59.0,car_18,301.6,282.33683607355897,0.2079599182678512,RISK
59.0,car_05,447.8356921513205,295.2,13.889268583829981,RISK
59.0,car_13,298.4,304.28099999999995,4.0,COLLISION
59.0,wrong_way_01,269.84240497289426,304.8,9.382277147411381,COLLISION
59.0,yield_02,531.498681431672,301.6,13.843072905933951,RISK
60.0,car_10,311.48900000000003,295.2,4.0,RISK
60.0,yield_01,298.4,520.3998403073188,13.13687979725382,SAFE
60.0,yield_06,538.182720525129,304.8,13.784305231873878,RISK
60.0,car_09,33.167558871916924,304.8,12.90006654339297,SAFE
60.0,ped_01,295.2,397.3204119692026,11.370425878953423,RISK
60.0,react_02,339.7628754917727,301.6,4.0,COLLISION
60.0,car_12,297.5726545735735,302.1731173072553,4.787749336819541,COLLISION
60.0,yield_05,295.2,540.4296550763514,13.790322385835461,SAFE
60.0,react_04,304.8,278.12186482485896,4.0,COLLISION
60.0,car_p2,298.4,383.7139025972847,12.08952102233126,RISK
60.0,car_06,238.37100000000012,304.8,4.0,RISK
60.0,car_08,295.2,242.51100000000008,4.0,RISK
60.0,car_16,334.6181353821968,295.2,4.0,COLLISION
60.0,react_03,298.4,310.7548495925394,3.49512281998709,COLLISION
60.0,firetruck_01,304.8,58.945000000000036,13.5,SAFE
60.0,car_11,298.4,275.57099999999997,4.0,COLLISION
60.0,car_04,367.0923796322601,298.4,4.0,RISK
60.0,car_p1,298.4,364.4499801165588,12.047561026178427,RISK
60.0,car_15,310.4764177539824,304.8,0.0,RISK
60.0,car_03,254.92227380569614,301.6,4.0,RISK
60.0,yield_04,301.6,50.14417695412248,3.0,RISK
60.0,car_17,296.5052615101289,305.2378379373849,0.0,RISK
60.0,car_14,301.6,291.52700000000004,3.119999999999999,RISK
60.0,car_07,301.6,313.94602648659225,7.52541402127096,COLLISION
60.0,car_18,301.6,283.21033539409603,1.70388717158668,COLLISION
60.0,car_05,461.66038758934485,295.2,13.86570873077726,RISK
60.0,car_13,298.4,300.28099999999995,4.0,COLLISION
60.0,wrong_way_01,261.1748756336789,304.8,8.143952662056773,COLLISION
60.0,yield_02,517.6668748600355,301.6,13.82418502706336,RISK
61.0,car_10,315.48900000000003,298.4,4.0,RISK
61.0,yield_01,298.4,507.28842702043227,13.156225958549946,SAFE
61.0,yield_06,524.3630457720374,304.8,13.806638107919134,RISK
61.0,car_09,20.197560459365548,304.8,12.971813436163723,SAFE
61.0,ped_01,295.2,385.922325716883,11.4320132442161,RISK
61.0,react_02,335.76287549177295,301.6,4.0,COLLISION
